X,a - Copy.txt,X,a.txt,X,cdtest.txt,X,cdtestBL.txt
203.6,-0.052460532,203.6,-0.040968426,203.6,-0.028720709,203.6,0
203.4,-0.053143863,203.4,-0.04151509,203.4,-0.025351923,203.4,0
203.2,-0.054131962,203.2,-0.042305569,203.2,-0.027760332,203.2,0
203,-0.053959774,203,-0.042167819,203,-0.023354185,203,0
202.8,-0.054344173,202.8,-0.042475339,202.8,-0.020456211,202.8,0
202.6,-0.054281219,202.6,-0.042424975,202.6,-0.016091326,202.6,0
202.4,-0.054208675,202.4,-0.04236694,202.4,-0.010414227,202.4,0
202.2,-0.055166755,202.2,-0.043133404,202.2,-0.007618898,202.2,0
202,-0.055514049,202,-0.043411239,202,-0.006071915,202,0
201.8,-0.056425434,201.8,-0.044140348,201.8,-0.013261707,201.8,0
201.6,-0.056853194,201.6,-0.044482555,201.6,-0.013907626,201.6,0
201.4,-0.056504232,201.4,-0.044203386,201.4,-0.012523778,201.4,0
201.2,-0.057197569,201.2,-0.044758055,201.2,-0.012395123,201.2,0
201,-0.057836706,201,-0.045269365,201,-0.008557625,201,0
200.8,-0.058321583,200.8,-0.045657266,200.8,-0.00759209,200.8,0
200.6,-0.058924865,200.6,-0.046139892,200.6,-0.01156442,200.6,0
200.4,-0.059187107,200.4,-0.046349686,200.4,-0.003742431,200.4,0
200.2,-0.05902034,200.2,-0.046216272,200.2,-0.014672521,200.2,0
200,-0.058565481,200,-0.045852385,200,-0.023067934,200,0
199.8,-0.057719135,199.8,-0.045175308,,,,
199.6,-0.057474403,199.6,-0.044979523,,,,
199.4,-0.057014124,199.4,-0.044611299,,,,
199.2,-0.05627576,199.2,-0.044020608,,,,
199,-0.057412699,199,-0.044930159,,,,
198.8,-0.05642877,198.8,-0.044143016,,,,
198.6,-0.056136092,198.6,-0.043908874,,,,
198.4,-0.056180286,198.4,-0.043944229,,,,
198.2,-0.056083144,198.2,-0.043866515,,,,
198,-0.054963715,198,-0.042970972,,,,
197.8,-0.052949996,197.8,-0.041359996,,,,
197.6,-0.051855582,197.6,-0.040484466,,,,
197.4,-0.050857061,197.4,-0.039685649,,,,
197.2,-0.050211253,197.2,-0.039169002,,,,
197,-0.051479521,197,-0.040183617,,,,
196.8,-0.050204999,196.8,-0.039163999,,,,
